Household_Size,Income_Level,Garden_Area,Rainfall_mm,Temperature_C,Seasonal_Index,Water_Price,Appliance_Count,Leakage_Factor,Daily_Liters_Used,Per_Person_Usage,Garden_Impact,Water_Intensity,Usage_Class
7,45525,226,141.0712672710841,33.42477138481402,1.2529229791060228,6.422917182705638,6,0.051970400042846567,1529.1264598955581,218.44663712793687,283.16059327796114,6.736239911434176,1
4,99818,422,83.49491121563324,30.585873390566697,1.2149036074057475,8.260258790163178,7,0.3821379919918887,1345.5172708825191,336.3793177206298,512.6893223252255,3.1808918933392887,1
5,34334,71,151.61470028415985,23.5341969850315,1.104199766028493,5.7771852040702365,7,0.13341950187084267,1125.4959443123785,225.0991888624757,78.398183388023,15.631888115449701,0
7,82767,242,78.64613959457552,22.5800997219621,0.6811651777152276,2.206026137763785,10,0.10457801259411768,1565.1203462507958,223.58862089297082,164.84197300708507,6.440824470167884,1
3,26644,17,165.2726369712929,12.17768929507356,0.8098730925096566,8.168883289400716,11,0.1165064069477535,774.0722152592807,258.02407175309355,13.767842572664161,43.00401195884893,0
5,52933,76,53.45901641530091,10.195034404852466,0.9671315786116945,2.657386516967132,4,0.3749413761442815,899.4192333573883,179.88384667147767,73.50199997448878,11.680769264381667,0
5,63469,44,55.50933185960485,25.866818995955303,0.8127775550113807,7.132426338070913,5,0.1931364842071644,1163.8479078413338,232.76958156826677,35.76221242050075,25.86328684091853,1
7,53687,471,104.47666108534703,22.524785570547984,0.9471791385223228,8.427436069215164,3,0.17387190023676233,1398.0282371732458,199.71831959617796,446.1213742440141,2.9619242312992493,1
2,72656,370,86.15223167234703,33.88110279705293,0.7807660325101218,4.26152137984835,6,0.22635928724611276,879.4791170530362,439.7395585265181,288.88343202874506,2.3705636578248956,0
3,37375,342,129.6231688569391,26.279621689213645,0.8796804030448133,5.59285185347225,13,0.37230476121639083,1226.3782407577294,408.79274691924314,300.85069784132617,3.57544676605752,1
7,85206,139,72.8581509347158,38.10118130146677,1.121837506877302,2.114686737486533,14,0.1233359451718831,1415.250921926517,202.17870313235957,155.935413455945,10.10893515661798,1
3,56607,176,46.11012981407336,15.884223965829957,1.313888864623756,8.431001596719083,7,0.07232800415648324,939.1226584246208,313.0408861415403,231.24444017378107,5.3057777312125465,0
3,43993,221,93.96171257658021,39.704510211551195,0.9080245449862602,7.626088719366554,9,0.23819637311249983,1134.4322277224028,378.1440759074676,200.6734244419635,5.110055079830643,0
5,64386,414,112.19129989942924,18.93757582936319,1.1535265849286058,3.8510991551027445,9,0.1966699089151694,1389.5478562728322,277.90957125456646,477.5600061604428,3.348308087404415,1
4,66287,91,28.520010765938085,29.272719207199177,0.7078344691060162,5.121809582926314,12,0.024787306200665427,1180.2491588704645,295.0622897176161,64.41293668864748,12.828795205113744,1
3,96312,21,111.34372514663306,25.055611408499537,1.032654382284609,7.562532014408891,13,0.20877492994697647,806.9517132373844,268.98390441246147,21.68574202797679,36.67962332897202,0
6,95324,171,63.85134104957937,20.78729203747748,1.3373633804436107,4.8653049748096535,5,0.22496715047342827,1238.4396778567755,206.40661297612925,228.68913805585743,7.2002306852138105,1
5,91196,91,78.49037697370159,14.179275497963399,0.6223486435659067,3.2993182044615983,4,0.27766024407115303,1123.1618066511664,224.6323613302333,56.63372656449751,12.208280507077896,0
